Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-perccombo	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
ERR6913147_1	7.3493676542310595	43.0	137.73650100412175	0.0	997389.0	64.49	
ERR6913147_2	7.272102750503635	43.0	137.73164031285688	0.0	997389.0		
ERR6913154_1	6.94628478238711	42.0	134.1847925797574	10.0	19622.0	71.88	
ERR6913154_2	6.930995821017234	42.0	134.1785750688003	10.0	19622.0		
ERR6913157_1	9.092285474704184	50.0	130.0386425044256	10.0	85864.0	92.1	
ERR6913157_2	9.00726730643808	50.0	130.03099086928165	10.0	85864.0		
ERR6913165_1	7.384025758003176	50.0	129.91441883991712	0.0	102803.0	90.54	
ERR6913165_2	7.342198184877873	50.0	129.90425376691343	10.0	102803.0		
ERR6913243_1	50.82227448374114	48.0	125.57413844863238	10.0	1425684.0	89.81	
ERR6913243_2	50.76804266130804	48.0	125.568509571546	10.0	1425684.0		
ERR6913250_1	70.73395144737773	49.0	131.72845447896762	30.0	84774.0	89.94	
ERR6913250_2	70.33170547573548	49.0	131.7193007289971	30.0	84774.0		
ERR6913253_1	13.094840819595547	50.0	110.11539745044384	20.0	14983.0	94.41	
ERR6913253_2	13.108189281185346	50.0	110.10985783888407	20.0	14983.0		
ERR6913261_1	10.986920332936975	50.0	120.32009512485136	20.0	4205.0	94.84	
ERR6913261_2	10.986920332936975	50.0	120.37740784780024	20.0	4205.0		
linastep_bowtie2_Ca							0.92
linastep_bowtie2_PhiX							0.0
linastep_bowtie2_SC2							0.0
linastep_bowtie2_SC2-checkpoint							0.0
